timestamp,adservice_running,adservice_paused,cartservice_running,cartservice_paused,checkoutservice_running,checkoutservice_paused,currencyservice_running,currencyservice_paused,emailservice_running,emailservice_paused,paymentservice_running,paymentservice_paused,frontend_running,frontend_paused,productcatalogservice_running,productcatalogservice_paused,recommendationservice_running,recommendationservice_paused,shippingservice_running,shippingservice_paused,optimize_flag,pause_flag
2025-05-01T13:12:56.665694,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-01T13:13:16.951953,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-01T13:13:37.167914,3,0,3,0,3,0,3,0,3,0,3,0,2,1,2,1,2,1,2,1,0,0
2025-05-01T13:13:57.353576,3,0,3,0,3,0,3,0,3,0,3,0,2,1,2,1,2,1,2,1,0,0
2025-05-01T13:14:17.564681,3,0,3,0,3,0,3,0,3,0,3,0,2,1,2,1,2,1,2,1,0,0
2025-05-01T13:14:37.791355,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-01T13:14:57.963663,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-01T13:15:18.187654,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-01T13:15:38.360152,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-01T13:15:58.542704,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-01T13:16:18.725743,3,0,3,0,3,0,2,1,2,1,2,1,2,1,2,1,2,1,2,1,0,0
2025-05-01T13:16:38.915960,3,0,3,0,3,0,2,1,2,1,2,1,2,1,2,1,2,1,2,1,0,0
2025-05-01T13:16:59.138429,3,0,3,0,3,0,2,1,2,1,2,1,1,2,1,2,1,2,1,2,0,0
2025-05-01T13:17:19.341382,3,0,3,0,3,0,3,0,3,0,3,0,2,1,2,1,2,1,2,1,0,0
2025-05-01T13:17:39.687761,3,0,3,0,3,0,3,0,3,0,3,0,2,1,2,1,2,1,2,1,0,0
2025-05-01T13:17:59.904397,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-01T13:18:20.083747,3,0,3,0,3,0,3,0,2,1,2,1,2,1,3,0,3,0,3,0,0,0
2025-05-01T13:18:40.311709,3,0,3,0,3,0,3,0,2,1,2,1,2,1,3,0,3,0,3,0,0,0
2025-05-01T13:19:00.489700,3,0,3,0,3,0,3,0,2,1,2,1,2,1,3,0,3,0,3,0,0,0
2025-05-01T13:19:20.674262,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-01T13:19:40.846150,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-01T13:20:01.022946,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-01T13:20:21.235244,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-01T13:20:41.428763,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-01T13:21:01.645709,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-01T13:21:21.874375,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
