timestamp,adservice_running,adservice_paused,cartservice_running,cartservice_paused,checkoutservice_running,checkoutservice_paused,currencyservice_running,currencyservice_paused,emailservice_running,emailservice_paused,paymentservice_running,paymentservice_paused,frontend_running,frontend_paused,productcatalogservice_running,productcatalogservice_paused,recommendationservice_running,recommendationservice_paused,shippingservice_running,shippingservice_paused,optimize_flag,pause_flag
2025-04-30T17:55:25.753865,3,0,3,0,3,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,0
2025-04-30T17:55:46.048966,2,0,2,0,2,0,3,0,3,0,3,0,3,0,2,0,2,0,2,0,0,1
2025-04-30T17:56:06.226777,2,0,2,0,2,0,2,1,2,1,2,1,2,1,1,1,1,1,1,1,0,0
2025-04-30T17:56:26.384578,2,0,2,0,2,0,2,1,2,1,2,1,2,1,1,1,1,1,1,1,0,1
2025-04-30T17:56:46.560646,2,0,2,0,2,0,2,1,2,1,2,1,2,1,1,1,1,1,1,1,0,0
2025-04-30T17:57:06.706675,2,0,2,0,2,0,3,0,3,0,3,0,3,0,2,0,2,0,2,0,0,1
2025-04-30T17:57:26.896088,2,0,2,0,2,0,3,0,3,0,3,0,3,0,2,0,2,0,2,0,0,0
2025-04-30T17:57:47.044587,2,0,2,0,2,0,3,0,3,0,3,0,3,0,2,0,2,0,2,0,0,1
2025-04-30T17:58:07.227222,2,0,2,0,2,0,3,0,3,0,3,0,3,0,1,1,1,1,1,1,0,0
2025-04-30T17:58:27.372983,2,0,2,0,2,0,3,0,3,0,3,0,3,0,1,1,1,1,1,1,0,1
2025-04-30T17:58:47.525759,2,0,2,0,2,0,2,1,2,1,2,1,2,1,1,1,1,1,1,1,0,0
2025-04-30T17:59:07.681349,2,0,2,0,2,0,2,1,2,1,2,1,2,1,2,0,2,0,2,0,0,1
2025-04-30T17:59:27.821526,2,0,2,0,2,0,2,1,2,1,2,1,2,1,2,0,2,0,2,0,0,0
2025-04-30T17:59:47.969166,2,0,2,0,2,0,3,0,3,0,3,0,3,0,2,0,2,0,2,0,0,1
2025-04-30T18:00:08.106468,1,1,1,1,1,1,2,1,2,1,2,1,2,1,2,0,2,0,2,0,1,0
2025-04-30T18:00:28.255547,1,1,1,1,1,1,2,1,2,1,2,1,2,1,3,0,3,0,3,0,0,1
2025-04-30T18:00:48.522840,0,1,1,0,1,0,2,1,2,1,2,1,1,2,2,1,2,1,2,1,0,0
2025-04-30T18:01:08.668712,1,0,1,0,1,0,3,0,3,0,3,0,2,1,2,1,2,1,2,1,0,1
2025-04-30T18:01:28.814516,1,0,1,0,1,0,3,0,3,0,3,0,2,1,2,1,2,1,2,1,0,0
2025-04-30T18:01:48.968671,1,0,1,0,1,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,1
2025-04-30T18:02:09.106576,1,0,1,0,1,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-04-30T18:02:29.249652,1,0,1,0,1,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,1
2025-04-30T18:02:49.387667,1,0,1,0,1,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-04-30T18:03:09.540551,1,0,1,0,1,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,1
2025-04-30T18:03:29.688707,0,1,0,1,0,1,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-04-30T18:03:49.837682,0,1,0,1,0,1,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,1
2025-04-30T18:04:09.979847,0,1,0,1,0,1,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-04-30T18:04:30.132957,1,0,1,0,1,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,1
2025-04-30T18:04:50.281379,1,0,1,0,1,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-04-30T18:05:10.425647,1,0,1,0,1,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,1,1
2025-04-30T18:05:30.569825,2,0,2,0,2,0,2,1,2,1,2,1,2,1,3,0,3,0,3,0,0,0
2025-04-30T18:05:50.743865,2,0,2,0,2,0,2,1,2,1,2,1,2,1,2,0,2,0,2,0,0,1
2025-04-30T18:06:10.890938,2,0,2,0,2,0,2,1,2,1,2,1,2,1,2,0,2,0,2,0,0,0
2025-04-30T18:06:31.040704,2,0,2,0,2,0,3,0,3,0,3,0,3,0,2,0,2,0,2,0,0,1
2025-04-30T18:06:51.185945,1,1,1,1,1,1,3,0,3,0,3,0,3,0,2,0,2,0,2,0,0,0
2025-04-30T18:07:11.342582,1,1,1,1,1,1,3,0,3,0,3,0,3,0,2,0,2,0,2,0,0,1
2025-04-30T18:07:31.483326,1,1,1,1,1,1,3,0,3,0,3,0,3,0,2,0,2,0,2,0,0,0
2025-04-30T18:07:51.631687,2,0,2,0,2,0,3,0,3,0,3,0,3,0,2,0,2,0,2,0,0,1
2025-04-30T18:08:11.773654,2,0,2,0,2,0,3,0,3,0,3,0,3,0,2,0,2,0,2,0,0,0
2025-04-30T18:08:31.934151,2,0,2,0,2,0,3,0,3,0,3,0,3,0,2,0,2,0,2,0,0,1
2025-04-30T18:08:52.078758,2,0,2,0,2,0,2,1,2,1,2,1,1,2,2,0,2,0,2,0,0,0
2025-04-30T18:09:12.223953,2,0,2,0,2,0,2,1,2,1,2,1,1,2,2,0,2,0,2,0,0,1
2025-04-30T18:09:32.365712,2,0,2,0,2,0,2,1,2,1,2,1,1,2,1,1,1,1,1,1,0,0
2025-04-30T18:09:52.522081,2,0,2,0,2,0,3,0,3,0,3,0,3,0,1,1,1,1,1,1,0,1
2025-04-30T18:10:12.666644,2,0,2,0,2,0,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,0
2025-04-30T18:10:32.814509,2,0,2,0,2,0,1,1,1,1,1,1,2,1,3,0,3,0,3,0,0,1
2025-04-30T18:10:52.958618,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,0,3,0,3,0,0,0
2025-04-30T18:11:13.098643,1,1,1,1,1,1,2,0,2,0,2,0,3,0,3,0,3,0,3,0,0,1
2025-04-30T18:11:33.246724,1,1,1,1,1,1,2,0,2,0,2,0,3,0,3,0,3,0,3,0,0,0
2025-04-30T18:11:53.402293,2,0,2,0,2,0,2,0,2,0,2,0,3,0,3,0,3,0,3,0,0,1
2025-04-30T18:12:13.551627,2,0,2,0,2,0,2,0,2,0,2,0,3,0,3,0,3,0,3,0,0,0
2025-04-30T18:12:33.690968,2,0,2,0,2,0,2,0,2,0,2,0,3,0,3,0,3,0,3,0,0,1
2025-04-30T18:12:53.835368,2,0,2,0,2,0,1,1,1,1,1,1,3,0,3,0,3,0,3,0,0,0
2025-04-30T18:13:13.979416,2,0,2,0,2,0,1,1,1,1,1,1,3,0,3,0,3,0,3,0,0,1
2025-04-30T18:13:34.128746,2,0,2,0,2,0,1,1,1,1,1,1,3,0,3,0,3,0,3,0,0,0
2025-04-30T18:13:54.270521,2,0,2,0,2,0,2,0,2,0,2,0,3,0,3,0,3,0,3,0,0,1
2025-04-30T18:14:14.410951,2,0,2,0,2,0,2,0,2,0,2,0,2,1,2,1,2,1,2,1,0,0
2025-04-30T18:14:34.559186,2,0,2,0,2,0,2,0,2,0,2,0,2,1,2,1,2,1,2,1,0,1
2025-04-30T18:14:54.699715,2,0,2,0,2,0,1,1,1,1,1,1,2,1,2,1,2,1,2,1,0,0
2025-04-30T18:15:14.849738,2,0,2,0,2,0,1,1,1,1,1,1,3,0,3,0,3,0,3,0,1,1
2025-04-30T18:15:34.994648,2,0,2,0,2,0,2,1,2,1,2,1,3,0,2,0,2,0,2,0,0,0
2025-04-30T18:15:55.150621,2,0,2,0,2,0,3,0,3,0,3,0,3,0,2,0,2,0,2,0,0,1
2025-04-30T18:16:15.300047,2,0,2,0,2,0,3,0,3,0,3,0,3,0,2,0,2,0,2,0,0,0
2025-04-30T18:16:35.453371,2,0,2,0,2,0,3,0,3,0,3,0,3,0,2,0,2,0,2,0,0,1
2025-04-30T18:16:55.596843,2,0,2,0,2,0,2,1,2,1,2,1,2,1,2,0,2,0,2,0,0,0
2025-04-30T18:17:15.747937,2,0,2,0,2,0,2,1,2,1,2,1,2,1,2,0,2,0,2,0,0,1
2025-04-30T18:17:35.886778,2,0,2,0,2,0,1,2,1,2,2,1,2,1,2,0,2,0,2,0,0,0
2025-04-30T18:17:56.024753,2,0,2,0,2,0,2,1,2,1,2,1,2,1,2,0,2,0,2,0,0,1
2025-04-30T18:18:16.174709,2,0,2,0,2,0,1,2,2,1,1,2,1,2,2,0,2,0,2,0,0,0
2025-04-30T18:18:36.334516,2,0,2,0,2,0,2,1,2,1,2,1,2,1,2,0,2,0,2,0,0,1
2025-04-30T18:18:56.476192,2,0,2,0,2,0,2,1,2,1,2,1,2,1,2,0,2,0,2,0,0,0
2025-04-30T18:19:16.616088,2,0,2,0,2,0,3,0,3,0,3,0,3,0,2,0,2,0,2,0,0,1
2025-04-30T18:19:36.759510,2,0,2,0,2,0,3,0,3,0,3,0,3,0,2,0,2,0,2,0,0,0
2025-04-30T18:19:56.913674,2,0,2,0,2,0,3,0,3,0,3,0,3,0,2,0,2,0,2,0,0,1
2025-04-30T18:20:17.055718,2,0,2,0,2,0,3,0,3,0,3,0,3,0,2,0,2,0,2,0,1,0
2025-04-30T18:20:37.195704,2,0,2,0,2,0,3,0,3,0,3,0,2,0,2,0,2,0,2,0,0,1
2025-04-30T18:20:57.344021,2,0,2,0,2,0,3,0,3,0,3,0,2,0,2,0,2,0,2,0,0,0
2025-04-30T18:21:17.521640,2,0,2,0,2,0,3,0,3,0,3,0,2,0,2,0,2,0,2,0,0,1
2025-04-30T18:21:37.665178,2,0,2,0,2,0,3,0,3,0,3,0,2,0,2,0,2,0,2,0,0,0
2025-04-30T18:21:57.833627,2,0,2,0,2,0,3,0,3,0,3,0,2,0,2,0,2,0,2,0,0,1
2025-04-30T18:22:17.977395,2,0,2,0,2,0,3,0,3,0,3,0,2,0,2,0,2,0,2,0,0,0
2025-04-30T18:22:38.152919,2,0,2,0,2,0,3,0,3,0,3,0,2,0,2,0,2,0,2,0,0,1
2025-04-30T18:22:58.298622,2,0,2,0,2,0,2,1,2,1,2,1,2,0,2,0,2,0,2,0,0,0
2025-04-30T18:23:18.469546,2,0,2,0,2,0,2,1,2,1,2,1,2,0,2,0,2,0,2,0,0,1
2025-04-30T18:23:38.609656,2,0,2,0,2,0,2,1,2,1,2,1,2,0,2,0,2,0,2,0,0,0
2025-04-30T18:23:58.792717,2,0,2,0,2,0,3,0,3,0,3,0,2,0,2,0,2,0,2,0,0,1
2025-04-30T18:24:18.930972,2,0,2,0,2,0,3,0,3,0,3,0,2,0,2,0,2,0,2,0,0,0
2025-04-30T18:24:39.102578,2,0,2,0,2,0,3,0,3,0,3,0,2,0,2,0,2,0,2,0,0,1
2025-04-30T18:24:59.243654,2,0,2,0,2,0,3,0,3,0,3,0,2,0,2,0,2,0,2,0,0,0
2025-04-30T18:25:19.386502,2,0,2,0,2,0,3,0,3,0,3,0,2,0,2,0,2,0,2,0,1,1
2025-05-01T11:13:51.914618,2,0,2,0,2,0,3,0,3,0,3,0,2,0,2,0,2,0,2,0,1,0
2025-05-01T11:14:12.190683,2,0,2,0,2,0,3,0,3,0,3,0,2,0,2,0,2,0,2,0,0,1
2025-05-01T11:14:32.407198,2,0,2,0,2,0,3,0,3,0,3,0,2,0,2,0,2,0,2,0,0,0
2025-05-01T11:14:52.574283,2,0,2,0,2,0,3,0,3,0,3,0,2,0,2,0,2,0,2,0,0,0
2025-05-01T11:15:30.149293,2,0,2,0,2,0,3,0,3,0,3,0,2,0,2,0,2,0,2,0,1,0
2025-05-01T11:15:50.412714,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,1
2025-05-01T11:16:10.548067,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0
2025-05-01T11:16:30.679914,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,1
2025-05-01T11:16:50.814627,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0
2025-05-01T11:17:10.945293,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,1
2025-05-01T11:17:31.066394,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0
2025-05-01T11:17:51.224218,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,1
2025-05-01T11:18:11.344753,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1,1,1,1,1,0,0
2025-05-01T11:18:31.522675,2,0,2,0,2,0,2,0,2,0,2,0,1,1,1,1,1,1,1,1,0,0
2025-05-01T11:18:56.664414,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,0
2025-05-01T11:20:02.841650,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,0
2025-05-01T11:20:23.337883,1,0,1,0,1,0,1,0,1,0,1,0,3,0,3,0,3,0,3,0,0,0
2025-05-01T11:20:44.542391,1,0,1,0,1,0,1,0,1,0,1,0,3,0,3,0,3,0,3,0,1,0
2025-05-01T11:21:04.753095,1,0,1,0,1,0,1,0,1,0,1,0,3,0,3,0,3,0,3,0,0,1
2025-05-01T11:21:24.877092,1,0,1,0,1,0,1,0,1,0,1,0,3,0,3,0,3,0,3,0,0,0
2025-05-01T11:21:45.006684,1,0,1,0,1,0,1,0,1,0,1,0,3,0,3,0,3,0,3,0,0,1
2025-05-01T11:22:05.128592,1,0,1,0,1,0,0,1,0,1,0,1,3,0,3,0,3,0,3,0,0,0
2025-05-01T11:22:25.281748,1,0,1,0,1,0,0,1,0,1,0,1,3,0,3,0,3,0,3,0,0,1
2025-05-01T11:22:45.400663,1,0,1,0,1,0,0,1,0,1,0,1,3,0,3,0,3,0,3,0,0,0
2025-05-01T11:23:05.518500,1,0,1,0,1,0,0,1,0,1,0,1,3,0,3,0,3,0,3,0,0,1
2025-05-01T11:23:25.667655,1,0,1,0,1,0,0,1,0,1,0,1,3,0,3,0,3,0,3,0,0,0
2025-05-01T11:23:45.785679,1,0,1,0,1,0,0,1,0,1,0,1,3,0,3,0,3,0,3,0,0,1
2025-05-01T11:24:05.934509,0,1,0,1,0,1,1,0,1,0,1,0,3,0,3,0,3,0,3,0,0,0
2025-05-01T11:24:26.066828,0,1,0,1,0,1,1,0,1,0,1,0,3,0,3,0,3,0,3,0,0,1
2025-05-01T11:24:46.184303,0,1,0,1,0,1,1,0,1,0,1,0,3,0,3,0,3,0,3,0,0,0
2025-05-01T11:25:06.305856,0,1,0,1,0,1,1,0,1,0,1,0,3,0,3,0,3,0,3,0,0,1
2025-05-01T11:25:26.418689,0,1,0,1,0,1,1,0,1,0,1,0,3,0,3,0,3,0,3,0,1,0
2025-05-01T11:25:46.577087,2,1,2,1,2,1,2,0,2,0,2,0,3,0,3,0,3,0,3,0,0,1
2025-05-01T11:26:06.786298,3,0,3,0,3,0,2,0,2,0,2,0,2,0,1,0,1,0,1,0,0,0
2025-05-01T11:26:26.957030,3,0,3,0,3,0,2,0,2,0,2,0,2,0,1,0,1,0,1,0,0,1
2025-05-01T11:26:47.081765,3,0,3,0,3,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0
