Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1753,0,4200,4801.234455219624,1660,14136,10552.658300057044,2.9699572548579436,0.0,4200,4800,5300,5700,8200,9800,11000,12000,13000,14000,14000
GET,/cart,4595,0,3700,3817.7891186071815,1314,8450,13519.004134929271,7.7849136258255855,0.0,3700,4100,4500,4700,5300,5800,6400,6800,8000,8400,8400
POST,/cart,4443,0,5400,5481.57618726086,2297,10322,17960.496061219896,7.527393088039843,0.0,5400,5900,6300,6500,7200,7800,8600,9100,10000,10000,10000
POST,/cart/checkout,1475,11,3100,3108.2135593220337,274,7022,6794.008135593221,2.498965744960335,0.01863635470817877,3100,3400,3600,3800,4300,4600,5200,5500,6800,7000,7000
GET,/product/0PUK6V6EV0,2229,0,3500,3615.412292507851,1138,8701,7921.440107671601,3.7764031495027703,0.0,3500,3900,4100,4300,4700,5200,5800,6100,7000,8700,8700
GET,/product/1YMWWN1N4O,2172,0,3500,3604.20211786372,1312,9303,7937.449355432781,3.6798329478331167,0.0,3500,3900,4100,4300,4700,5200,5700,6100,6700,9300,9300
GET,/product/2ZYFJ3GM2N,2207,0,3500,3609.1658359764388,1087,7492,7941.501132759402,3.739130440086413,0.0,3500,3900,4100,4300,4700,5100,5600,6000,6600,7500,7500
GET,/product/66VCHSJNUP,2135,0,3500,3624.766276346604,1513,7996,7905.335362997658,3.617147027451061,0.0,3500,3900,4100,4300,4800,5300,5900,6200,7300,8000,8000
GET,/product/6E92ZMYYFZ,2197,0,3500,3602.616294947656,1386,7593,7889.776968593536,3.722188299442614,0.0,3500,3900,4100,4300,4700,5300,5800,6200,7400,7600,7600
GET,/product/9SIQT8TOJO,2184,0,3500,3636.823717948718,1553,7387,7943.464285714285,3.7001635166056754,0.0,3500,3900,4100,4300,4800,5300,5700,6000,7000,7400,7400
GET,/product/L9ECAV7KIM,2096,0,3500,3603.696564885496,1397,9302,7905.717080152672,3.5510726789402454,0.0,3500,3900,4100,4300,4800,5300,5800,6200,7700,9300,9300
GET,/product/LS4PSXUNUM,2169,0,3500,3617.683725218995,1515,8309,7905.4744121715075,3.6747503056399773,0.0,3500,3900,4100,4300,4800,5200,5800,6100,7900,8300,8300
GET,/product/OLJCESPC7Z,2246,0,3500,3646.468833481745,1245,7611,7938.871326803206,3.8052047885972287,0.0,3500,3900,4100,4300,4800,5300,5800,6300,7500,7600,7600
POST,/setCurrency,2985,0,4400,4601.245896147404,1706,13686,10568.971189279731,5.0572289821739655,0.0,4400,4900,5300,5500,6200,6900,7900,8700,12000,14000,14000
,Aggregated,34886,11,3800,4003.6837699936937,274,14136,10248.205612566646,59.10435184995677,0.01863635470817877,3800,4300,4600,4900,5600,6400,7500,8300,11000,13000,14000
