Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,267,267,13,11.99625468164794,0,25,0.0,53.58143551254522,53.58143551254522,13,15,17,17,21,22,22,23,25,25,25
GET,/cart,51,51,4,2.823529411764706,0,5,0.0,10.234656221497403,10.234656221497403,4,4,4,4,4,5,5,5,5,5,5
POST,/cart,35,35,3,2.857142857142857,0,6,0.0,7.023783681419785,7.023783681419785,3,4,5,5,5,5,6,6,6,6,6
POST,/cart/checkout,16,16,1,1.3125,0,4,0.0,3.210872540077616,3.210872540077616,1,1,3,3,4,4,4,4,4,4,4
GET,/product/0PUK6V6EV0,21,21,3,3.238095238095238,0,6,0.0,4.214270208851872,4.214270208851872,3,4,4,5,5,5,6,6,6,6,6
GET,/product/1YMWWN1N4O,24,24,3,3.125,0,6,0.0,4.816308810116425,4.816308810116425,3,4,4,4,5,5,6,6,6,6,6
GET,/product/2ZYFJ3GM2N,26,26,3,3.1153846153846154,0,6,0.0,5.217667877626126,5.217667877626126,4,4,4,5,5,5,6,6,6,6,6
GET,/product/66VCHSJNUP,24,24,3,2.75,0,6,0.0,4.816308810116425,4.816308810116425,3,4,4,4,5,6,6,6,6,6,6
GET,/product/6E92ZMYYFZ,17,17,3,3.2941176470588234,0,6,0.0,3.411552073832467,3.411552073832467,3,4,5,5,5,6,6,6,6,6,6
GET,/product/9SIQT8TOJO,24,24,4,3.5,0,5,0.0,4.816308810116425,4.816308810116425,4,4,4,5,5,5,5,5,5,5,5
GET,/product/L9ECAV7KIM,26,26,4,3.6538461538461537,0,6,0.0,5.217667877626126,5.217667877626126,4,5,5,5,5,5,6,6,6,6,6
GET,/product/LS4PSXUNUM,15,15,4,3.1333333333333333,0,5,0.0,3.010193006322765,3.010193006322765,4,4,5,5,5,5,5,5,5,5,5
GET,/product/OLJCESPC7Z,23,23,3,2.9130434782608696,0,6,0.0,4.615629276361574,4.615629276361574,3,4,4,4,5,5,6,6,6,6,6
POST,/setCurrency,41,41,3,2.4146341463414633,0,6,0.0,8.227860883948892,8.227860883948892,3,4,4,4,5,5,6,6,6,6,6
,Aggregated,610,610,5,6.895081967213115,0,25,0.0,122.41451559045912,122.41451559045912,5,6,11,14,17,20,22,22,25,25,25
