Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1748,0,4500,5218.782608695652,1560,14493,10551.859839816934,2.9617811311719153,0.0,4500,5300,6100,6700,8100,11000,13000,13000,14000,14000,14000
GET,/cart,4307,0,3700,3878.9131646157416,975,9512,13437.978407244022,7.297706711646132,0.0,3700,4200,4500,4800,5400,6100,6900,7400,8400,9500,9500
POST,/cart,4437,0,5500,5659.552400270453,2394,12379,17978.970024791524,7.517976475406057,0.0,5500,6100,6500,6700,7500,8200,9200,9900,12000,12000,12000
POST,/cart/checkout,1495,7,3000,3129.7270903010035,286,8692,6799.424080267559,2.533102283239138,0.011860679587072888,3000,3400,3600,3800,4300,4800,5600,6300,8000,8700,8700
GET,/product/0PUK6V6EV0,2169,0,3600,3747.914707238359,1035,10044,7916.127708621485,3.6751162891944418,0.0,3600,4000,4300,4500,5000,5600,6400,7200,9200,10000,10000
GET,/product/1YMWWN1N4O,2114,0,3600,3832.198202459792,1521,9992,7936.107852412488,3.5819252352960116,0.0,3600,4100,4400,4600,5300,6000,6900,7300,9000,10000,10000
GET,/product/2ZYFJ3GM2N,2139,0,3600,3769.1813931743804,1114,12795,7933.0126227208975,3.6242848052498435,0.0,3600,4000,4300,4500,5000,5800,6900,7700,9600,13000,13000
GET,/product/66VCHSJNUP,2154,0,3700,3810.6295264623955,1428,12898,7906.203342618384,3.6497005472221424,0.0,3700,4100,4400,4600,5100,5800,6600,7300,9000,13000,13000
GET,/product/6E92ZMYYFZ,2179,0,3600,3787.1468563561266,1427,9464,7892.999082147774,3.6920601171759744,0.0,3600,4000,4300,4600,5200,5700,6500,7200,9100,9500,9500
GET,/product/9SIQT8TOJO,2185,0,3600,3820.952860411899,1308,10749,7935.933180778032,3.702226413964894,0.0,3600,4100,4300,4500,5100,5900,6800,7500,9400,11000,11000
GET,/product/L9ECAV7KIM,2045,0,3600,3796.241564792176,1429,9414,7901.039608801956,3.465012822223436,0.0,3600,4000,4300,4600,5200,5900,6600,7400,9000,9400,9400
GET,/product/LS4PSXUNUM,2139,0,3700,3785.8265544647033,1126,9692,7897.225806451613,3.6242848052498435,0.0,3700,4000,4300,4600,5100,5700,6400,6900,8200,9700,9700
GET,/product/OLJCESPC7Z,2179,0,3700,3824.237264800367,1551,9302,7932.972005507113,3.6920601171759744,0.0,3700,4100,4400,4600,5200,5900,6800,7400,9000,9300,9300
POST,/setCurrency,2960,0,4700,4900.2611486486485,1622,12706,10566.5375,5.015373082533678,0.0,4700,5200,5600,5900,6700,7600,8700,9800,12000,13000,13000
,Aggregated,34250,7,3900,4187.448583941606,286,14493,10229.404087591241,58.032610836749484,0.011860679587072888,3900,4500,4900,5200,6100,6900,8000,8800,13000,14000,14000
