Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1854,21,4300,4893.284894231949,0,11498,10436.139158576052,3.1406996128688416,0.03557426745967944,4300,4900,5600,6300,8700,9700,10000,11000,11000,11000,11000
GET,/cart,4427,34,3700,3841.8291693315236,0,9355,13318.637000225886,7.499394383047661,0.057596433029957185,3700,4200,4500,4800,5400,6000,6600,7200,8700,9400,9400
POST,/cart,4485,68,5300,5458.195937404212,0,11719,17686.14336677815,7.597647121745823,0.11519286605991437,5300,5900,6300,6600,7200,8000,8900,9500,11000,12000,12000
POST,/cart/checkout,1515,49,2900,2984.3659864599863,12,6575,6604.10099009901,2.5664292953054453,0.08300662407258536,2900,3300,3500,3700,4200,4700,5200,5600,6500,6600,6600
GET,/product/0PUK6V6EV0,2141,20,3500,3644.255325674005,2,11443,7842.226529659038,3.6268812681511275,0.03388025472350423,3500,3900,4200,4400,4900,5400,6200,6500,10000,11000,11000
GET,/product/1YMWWN1N4O,2164,14,3500,3664.4961700203644,31,9406,7881.051756007394,3.6658435610831575,0.023716178306452958,3500,3900,4200,4400,5000,5400,6100,6600,7900,9400,9400
GET,/product/2ZYFJ3GM2N,2144,17,3500,3638.63832412502,0,14786,7874.039645522388,3.631963306359653,0.028798216514978593,3500,3900,4200,4300,4900,5400,6000,6600,7900,15000,15000
GET,/product/66VCHSJNUP,2126,16,3500,3639.8362444393433,22,9663,7842.477422389464,3.6014710771084992,0.02710420377880338,3500,3900,4200,4400,4900,5400,6000,6500,7800,9700,9700
GET,/product/6E92ZMYYFZ,2167,14,3600,3650.4868481772037,26,10292,7838.208121827412,3.670925599291683,0.023716178306452958,3600,3900,4200,4400,5000,5400,6100,6500,8100,10000,10000
GET,/product/9SIQT8TOJO,2249,20,3500,3646.0984549208474,0,8309,7872.940862605603,3.8098346436580504,0.03388025472350423,3500,3900,4200,4400,5000,5400,6000,6500,7700,8300,8300
GET,/product/L9ECAV7KIM,2190,22,3500,3633.1462290735535,0,11784,7821.098630136987,3.709887892223713,0.037268280195854646,3500,3900,4200,4400,4800,5300,5900,6500,8900,12000,12000
GET,/product/LS4PSXUNUM,2027,19,3500,3652.6319811317644,55,9873,7832.3576714356195,3.4337638162271533,0.032186241987329015,3500,3900,4200,4400,4900,5400,6200,6700,8400,9900,9900
GET,/product/OLJCESPC7Z,2235,22,3500,3575.08322147651,14,8986,7866.415212527964,3.7861184653515974,0.037268280195854646,3500,3900,4100,4300,4700,5200,5600,6000,7900,9000,9000
POST,/setCurrency,3068,42,4500,4693.329264203294,21,15107,10424.40482398957,5.197231074585548,0.07114853491935888,4500,5000,5400,5700,6500,7200,8400,9400,12000,15000,15000
,Aggregated,34792,378,3800,4030.05589897659,0,15107,10125.809755116119,58.93809111700795,0.6403368142742298,3800,4300,4700,5000,5800,6600,7800,8800,11000,12000,15000
