Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1748401306,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1748401307,50,,Aggregated,0.000000,0.000000,950,950,950,950,950,950,950,950,950,950,950,8,0,940,932.625,858,954,10499.0
1748401308,100,,Aggregated,0.000000,0.000000,1600,1900,1900,1900,2000,2000,2000,2000,2000,2000,2000,46,0,1600,1553.608695652174,858,1970,10499.0
1748401309,150,,Aggregated,0.000000,0.000000,1600,1900,2000,2000,2000,2000,2200,2500,2500,2500,2500,65,0,1600,1616.6923076923076,858,2546,9970.984615384616
1748401310,200,,Aggregated,10.000000,0.000000,1600,1900,2000,2000,2200,2900,3000,3000,3000,3000,3000,99,0,1600,1687.909090909091,858,2957,9364.737373737375
1748401311,250,,Aggregated,18.333333,0.000000,1800,2000,2500,3000,3500,3900,3900,4000,4000,4000,4000,125,0,1800,2061.456,858,3959,9625.656
1748401312,300,,Aggregated,21.750000,0.000000,1900,2700,3300,3500,4300,4600,5000,5000,5000,5000,5000,144,0,1900,2363.472222222222,858,4962,9698.902777777777
1748401313,350,,Aggregated,22.000000,0.000000,2000,3200,3700,4000,4600,4800,5200,5200,5300,5300,5300,163,0,2000,2588.447852760736,858,5277,9701.085889570551
1748401314,400,,Aggregated,22.833333,0.000000,2800,3700,4300,4500,5000,5700,5800,5900,6100,6100,6100,197,0,2800,2952.507614213198,858,6135,9760.842639593908
1748401315,450,,Aggregated,22.714286,0.000000,3400,4300,4800,5200,6000,6800,6900,7000,7000,7000,7000,243,0,3400,3460.41975308642,858,6952,9841.20987654321
1748401316,500,,Aggregated,0.000000,0.000000,6300,6300,6300,6400,7100,7300,7300,7300,7300,7300,7300,28,0,6200,5838.75,3671,7264,9925.464285714286
1748401317,500,,Aggregated,0.000000,0.000000,6400,6800,7100,7300,7800,8100,8700,8800,8800,8800,8800,70,0,6400,6373.528571428571,3671,8755,9977.128571428571
1748401318,500,,Aggregated,27.000000,0.000000,6700,7100,7500,7600,8000,8500,8700,8800,8900,8900,8900,156,0,6700,6534.2307692307695,2827,8863,9935.397435897436
1748401319,500,,Aggregated,17.000000,0.000000,6700,7200,7500,7700,8100,8300,8700,8800,9500,9500,9500,205,0,6700,6586.009756097561,2827,9458,9845.717073170732
1748401320,500,,Aggregated,36.666667,0.000000,6700,7200,7500,7600,8000,8300,8700,8800,9500,9500,9500,272,0,6700,6424.566176470588,2401,9458,9767.0625
1748401321,500,,Aggregated,48.000000,0.000000,6700,7200,7500,7600,8100,8300,8800,8900,9500,9500,9500,300,0,6700,6472.53,2401,9458,9855.293333333333
1748401322,500,,Aggregated,53.800000,0.000000,6700,7300,7500,7800,8300,8600,8900,9200,9600,9600,9600,327,0,6700,6560.706422018348,2401,9553,9839.926605504586
1748401323,500,,Aggregated,48.500000,0.000000,6700,7300,7500,7800,8300,8900,9400,10000,11000,11000,11000,365,0,6700,6623.9808219178085,2401,10867,9733.216438356165
1748401324,500,,Aggregated,45.714286,0.000000,6700,7300,7600,7900,8300,8900,9600,10000,11000,11000,11000,376,0,6700,6648.31914893617,2401,10955,9710.505319148937
1748401325,500,,Aggregated,44.500000,0.000000,6900,7500,8100,8300,9500,11000,12000,12000,13000,13000,13000,549,0,6900,7055.227686703097,2401,12752,9454.803278688525
1748401326,500,,Aggregated,40.555556,0.000000,7000,7600,8300,8900,11000,11000,12000,13000,14000,14000,14000,709,0,7000,7244.816643159379,1602,13558,9301.091678420311
1748401327,500,,Aggregated,47.700000,0.000000,6900,7600,8300,9000,11000,12000,13000,13000,15000,15000,15000,778,0,6900,7196.164524421594,1602,14649,9297.380462724936
1748401328,500,,Aggregated,62.900000,0.000000,6800,7500,8200,8900,11000,12000,12000,13000,15000,15000,15000,826,0,6800,7016.06416464891,1602,14649,9219.470944309927
1748401329,500,,Aggregated,72.300000,0.000000,6700,7500,8100,8700,11000,11000,12000,13000,15000,15000,15000,875,0,6700,6833.726857142857,1602,14649,9199.773714285715
1748401330,500,,Aggregated,70.600000,0.000000,6400,7300,7900,8300,10000,11000,12000,13000,15000,15000,15000,968,0,6400,6563.978305785124,1602,14649,9259.077479338843
1748401331,500,,Aggregated,66.200000,0.000000,6200,7200,7700,8200,10000,11000,12000,13000,14000,15000,15000,1038,0,6200,6357.219653179191,1099,14649,9275.074181117534
1748401332,500,,Aggregated,68.800000,0.000000,6100,7100,7600,8200,10000,11000,12000,13000,14000,15000,15000,1076,0,6100,6265.441449814127,1099,14649,9350.43215613383
1748401333,500,,Aggregated,72.900000,0.000000,5900,7000,7500,8000,9800,11000,12000,13000,14000,15000,15000,1139,0,5900,6099.523266022827,1099,14649,9348.106233538192
1748401334,500,,Aggregated,74.700000,0.000000,5700,6800,7500,8000,9700,11000,12000,13000,14000,15000,15000,1186,0,5700,5998.99915682968,1099,14649,9376.424957841484
1748401335,500,,Aggregated,75.100000,0.000000,5500,6700,7300,7800,9400,11000,12000,13000,14000,15000,15000,1272,0,5500,5796.562893081761,1099,14649,9330.952044025158
1748401336,500,,Aggregated,80.900000,0.000000,5300,6600,7200,7600,9300,11000,12000,13000,14000,15000,15000,1346,0,5200,5641.8528974739975,1099,14649,9281.776374442794
1748401337,500,,Aggregated,77.300000,0.000000,5200,6500,7200,7600,9300,11000,12000,13000,14000,15000,15000,1375,0,5200,5583.357818181818,1099,14649,9269.10690909091
1748401338,500,,Aggregated,66.300000,0.000000,5000,6400,7100,7500,9100,11000,12000,13000,14000,15000,15000,1442,0,5000,5484.291955617198,1099,14649,9310.687933425797
1748401339,500,,Aggregated,61.200000,0.000000,4800,6300,7100,7500,9000,11000,12000,13000,14000,15000,15000,1494,0,4800,5408.7282463186075,1099,14649,9280.50736278447
1748401340,500,,Aggregated,62.100000,0.000000,4800,6200,7000,7400,9000,11000,12000,13000,14000,15000,15000,1537,0,4800,5371.454782042941,1099,14649,9277.997397527652
1748401341,500,,Aggregated,63.500000,0.000000,4700,6100,6900,7300,8900,11000,12000,12000,14000,15000,15000,1605,0,4700,5331.950778816199,1099,14649,9319.1738317757
1748401342,500,,Aggregated,57.000000,0.000000,4600,5900,6700,7200,8800,11000,12000,12000,14000,15000,15000,1707,0,4600,5234.18043350908,1099,14649,9309.425307557118
1748401343,500,,Aggregated,58.100000,0.000000,4400,5700,6700,7200,8600,11000,12000,12000,14000,15000,15000,1786,0,4400,5145.8594624860025,1099,14649,9280.73516237402
1748401344,500,,Aggregated,57.800000,0.000000,4400,5700,6600,7100,8600,10000,12000,12000,14000,15000,15000,1812,0,4400,5122.744481236203,1099,14649,9295.780905077263
1748401345,500,,Aggregated,63.000000,0.000000,4300,5500,6500,7100,8400,10000,12000,12000,14000,15000,15000,1871,0,4300,5076.342063067878,1099,14649,9275.595403527526
1748401346,500,,Aggregated,61.800000,0.000000,4300,5500,6500,7000,8300,10000,12000,12000,14000,15000,15000,1927,0,4300,5038.508043591074,1099,14649,9293.107939802801
1748401347,500,,Aggregated,57.900000,0.000000,4300,5400,6400,6900,8300,10000,12000,12000,14000,15000,15000,1996,0,4300,5004.908817635271,1099,14649,9362.446893787575
1748401348,500,,Aggregated,57.100000,0.000000,4200,5300,6300,6800,8200,10000,12000,12000,14000,15000,15000,2048,0,4200,4972.796875,1099,14649,9351.4599609375
1748401349,500,,Aggregated,59.800000,0.000000,4100,5200,6200,6700,8200,10000,12000,12000,14000,15000,15000,2132,0,4100,4911.618667917448,1099,14649,9355.7617260788
1748401350,500,,Aggregated,58.100000,0.000000,4100,5100,6200,6700,8100,10000,11000,12000,14000,15000,15000,2186,0,4100,4872.2451967063125,1099,14649,9362.572735590118
1748401351,500,,Aggregated,62.900000,0.000000,4100,5100,6100,6600,8100,9800,11000,12000,14000,15000,15000,2252,0,4100,4826.99378330373,1099,14649,9383.14298401421
1748401352,500,,Aggregated,65.000000,0.000000,4000,5000,5900,6500,8000,9700,11000,12000,14000,15000,15000,2367,0,4000,4744.600760456274,1099,14649,9358.59949302915
1748401353,500,,Aggregated,64.500000,0.000000,4000,4900,5800,6500,8000,9600,11000,12000,14000,15000,15000,2397,0,4000,4717.279098873592,1099,14649,9347.866082603254
1748401354,500,,Aggregated,70.000000,0.000000,3900,4900,5800,6400,7900,9500,11000,12000,14000,15000,15000,2455,0,3900,4671.8505091649695,1099,14649,9372.453360488798
1748401355,500,,Aggregated,64.400000,0.000000,3900,4800,5700,6400,7800,9400,11000,12000,14000,15000,15000,2514,0,3900,4637.552903739062,1099,14649,9381.035799522673
1748401356,500,,Aggregated,65.300000,0.000000,3800,4700,5600,6300,7700,9400,11000,12000,14000,15000,15000,2592,0,3800,4589.905864197531,1099,14649,9383.484182098766
1748401357,500,,Aggregated,67.900000,0.000000,3800,4700,5500,6300,7700,9400,11000,12000,14000,15000,15000,2639,0,3800,4560.332322849565,1099,14649,9366.550966275105
1748401358,500,,Aggregated,68.600000,0.000000,3800,4600,5400,6200,7600,9300,11000,12000,14000,15000,15000,2704,0,3800,4525.21375739645,1099,14649,9364.650147928995
1748401359,500,,Aggregated,65.300000,0.000000,3700,4600,5400,6100,7600,9300,11000,12000,14000,15000,15000,2756,0,3700,4502.171262699565,1099,14649,9398.18069666183
1748401360,500,,Aggregated,67.400000,0.000000,3800,4600,5400,6100,7500,9300,11000,12000,14000,15000,15000,2792,0,3800,4499.518624641833,1099,14649,9415.901862464183
1748401361,500,,Aggregated,60.100000,0.000000,3800,4600,5400,6100,7500,9200,11000,12000,14000,15000,15000,2830,0,3800,4493.8544169611305,1099,14649,9401.031448763251
1748401362,500,,Aggregated,58.000000,0.000000,3800,4600,5300,6100,7500,9100,11000,12000,14000,15000,15000,2884,0,3800,4488.077323162274,1099,14649,9404.739251040222
1748401363,500,,Aggregated,55.500000,0.000000,3800,4600,5300,6000,7500,9000,11000,12000,14000,15000,15000,2988,0,3800,4489.027108433735,1099,14649,9403.517068273093
1748401364,500,,Aggregated,50.400000,0.000000,3800,4600,5300,6000,7400,9000,11000,12000,13000,15000,15000,3055,0,3800,4482.144353518822,1099,14649,9405.465466448446
1748401365,500,,Aggregated,57.700000,0.000000,3800,4600,5300,5900,7400,9000,11000,12000,13000,15000,15000,3102,0,3800,4467.420696324952,1099,14649,9397.497743391361
1748401366,500,,Aggregated,59.300000,0.000000,3800,4600,5200,5900,7300,8900,11000,12000,13000,15000,15000,3177,0,3800,4458.1510859301225,1099,14649,9416.867170286434
1748401367,500,,Aggregated,58.100000,0.000000,3800,4600,5200,5800,7300,8900,11000,12000,13000,15000,15000,3227,0,3800,4452.468856523086,1099,14649,9450.683297180043
1748401368,500,,Aggregated,58.800000,0.000000,3800,4600,5200,5800,7300,8900,11000,12000,13000,15000,15000,3276,0,3800,4454.2979242979245,1099,14649,9467.579670329671
1748401369,500,,Aggregated,56.800000,0.000000,3800,4600,5200,5800,7300,8900,11000,12000,13000,15000,15000,3304,0,3800,4456.424334140436,1099,14649,9472.799636803875
