Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1868,13,5100,7675.257648105979,20,22752,10474.300321199144,3.1688414788553123,0.02205296532393954,5100,6300,12000,14000,17000,19000,20000,21000,22000,23000,23000
GET,/cart,4186,59,4100,4230.727248939089,0,10168,13506.10105112279,7.101054834308531,0.1000865349317256,4100,4600,5000,5200,5900,6500,7300,7700,9500,10000,10000
POST,/cart,4213,98,6000,6099.973610491997,0,13796,17544.00237360551,7.146857146904406,0.1662454309035442,6000,6600,7100,7400,8100,8800,9600,10000,12000,14000,14000
POST,/cart/checkout,1394,47,3500,3461.6416194806493,10,11025,6603.342898134863,2.364756435505517,0.07972995155578141,3500,3900,4200,4400,4900,5300,5700,6200,7500,11000,11000
GET,/product/0PUK6V6EV0,1985,23,4000,4113.683005034821,20,10945,7825.23879093199,3.367318166770768,0.03901678480389303,4000,4500,4700,4900,5600,6200,7000,7800,10000,11000,11000
GET,/product/1YMWWN1N4O,2042,18,4000,4086.4899009995383,1,10574,7864.359451518119,3.464011937806503,0.030534875063916285,4000,4400,4700,4900,5500,6100,6700,7100,9100,11000,11000
GET,/product/2ZYFJ3GM2N,2053,34,3900,4061.742815392109,0,16040,7808.1729176814415,3.482672139234452,0.05767698623184187,3900,4400,4700,4900,5500,6000,6800,7400,8900,16000,16000
GET,/product/66VCHSJNUP,2015,27,4000,4126.5613240441635,1,10108,7795.589081885856,3.4182096252106287,0.045802312595874424,4000,4400,4800,5000,5600,6200,7000,7400,9600,10000,10000
GET,/product/6E92ZMYYFZ,2104,29,4000,4113.811360289952,1,10811,7781.47005703422,3.5691876185822147,0.04919507649186512,4000,4400,4700,4900,5600,6100,6900,7600,9700,11000,11000
GET,/product/9SIQT8TOJO,2048,25,4000,4094.1659728564828,13,15294,7845.62841796875,3.474190229494475,0.042409548699883726,4000,4400,4700,4900,5600,6100,6700,7400,14000,15000,15000
GET,/product/L9ECAV7KIM,1981,25,4000,4071.0116102978295,1,10312,7804.567895002524,3.360532638978787,0.042409548699883726,4000,4400,4700,4900,5500,6000,6600,7200,9900,10000,10000
GET,/product/LS4PSXUNUM,1947,22,4000,4100.779658907019,21,14917,7819.838726245506,3.3028556527469446,0.03732040285589768,4000,4400,4700,4900,5500,6000,6900,7300,11000,15000,15000
GET,/product/OLJCESPC7Z,2057,28,4000,4066.340322997583,5,9601,7830.357802625183,3.489457667026433,0.04749869454386978,4000,4400,4700,4900,5500,6000,6600,7000,8400,9600,9600
POST,/setCurrency,2679,31,5200,5345.6192609182535,33,15056,10446.076521089959,4.54460723867954,0.05258784038785582,5200,5800,6300,6500,7400,8300,9300,10000,14000,15000,15000
,Aggregated,32572,479,4300,4651.558211188201,0,22752,10124.312476974088,55.254552810104514,0.8125669530897722,4300,4900,5300,5600,6600,7600,9600,15000,20000,22000,23000
