Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1748411300,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1748411301,50,,Aggregated,0.000000,0.000000,990,990,990,990,990,990,990,990,990,990,990,2,0,952,969.5,952,987,10499.0
1748411302,100,,Aggregated,0.000000,0.000000,1900,1900,1900,1900,1900,2000,2000,2000,2000,2000,2000,29,0,1900,1736.7586206896551,952,1974,10499.0
1748411303,150,,Aggregated,0.000000,0.000000,1900,2100,2200,2300,2500,2500,2500,2600,2600,2600,2600,51,0,1900,1958.4705882352941,952,2559,10393.509803921568
1748411304,200,,Aggregated,1.000000,0.000000,2100,2500,2700,2900,2900,3000,3000,3000,3000,3000,3000,82,0,2100,2173.3048780487807,952,2990,10072.30487804878
1748411305,250,,Aggregated,9.666667,0.000000,2600,2900,3000,3100,3300,3900,4000,4000,4000,4000,4000,128,0,2500,2518.140625,952,3978,9787.078125
1748411306,300,,Aggregated,12.750000,0.000000,2700,2900,3000,3100,3300,3900,4100,4100,4100,4100,4100,146,0,2700,2588.178082191781,952,4080,9606.36301369863
1748411307,350,,Aggregated,16.400000,0.000000,2800,3000,3100,3100,3900,4200,4400,4700,4800,4800,4800,167,0,2800,2688.1556886227545,952,4801,9506.736526946108
1748411308,400,,Aggregated,21.333333,0.000000,2800,3000,3100,3300,4000,4400,4700,5200,5700,5700,5700,180,0,2800,2750.3166666666666,952,5679,9421.172222222222
1748411309,450,,Aggregated,20.857143,0.000000,2900,3100,3800,4100,5300,6300,6500,7000,7000,7000,7000,212,0,2900,3170.7830188679245,952,6982,9492.193396226416
1748411310,500,,Aggregated,0.000000,0.000000,6800,7300,7700,7700,7800,7800,8000,8000,8000,8000,8000,37,0,6800,6542.378378378378,4103,8001,10541.648648648648
1748411311,500,,Aggregated,0.000000,0.000000,7300,7800,7900,8000,8500,9000,9000,9000,9000,9000,9000,56,0,7300,6998.517857142857,4103,8988,10481.982142857143
1748411312,500,,Aggregated,0.000000,0.000000,7300,7800,8000,8000,9000,9000,9600,9900,9900,9900,9900,69,0,7300,7092.101449275362,4103,9868,10407.884057971014
1748411313,500,,Aggregated,18.500000,0.000000,7700,8000,8800,9000,9900,9900,9900,10000,11000,11000,11000,108,0,7700,7364.601851851852,2401,10890,10301.388888888889
