Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,208,208,15,13.971153846153847,2,26,0.0,53.20807770390539,53.20807770390539,15,18,19,20,22,23,25,26,26,26,26
GET,/cart,36,36,4,4.083333333333333,0,7,0.0,9.20909037182978,9.20909037182978,4,5,5,5,6,6,7,7,7,7,7
POST,/cart,37,37,3,3.054054054054054,0,8,0.0,9.46489843771394,9.46489843771394,3,4,4,5,6,6,8,8,8,8,8
POST,/cart/checkout,13,13,2,1.9230769230769231,0,4,0.0,3.325504856494087,3.325504856494087,2,2,4,4,4,4,4,4,4,4,4
GET,/product/0PUK6V6EV0,19,19,4,3.5789473684210527,0,6,0.0,4.86035325179905,4.86035325179905,4,5,5,5,5,6,6,6,6,6,6
GET,/product/1YMWWN1N4O,30,30,4,4.1,0,7,0.0,7.674241976524816,7.674241976524816,4,4,5,5,6,6,7,7,7,7,7
GET,/product/2ZYFJ3GM2N,19,19,4,3.8947368421052633,0,7,0.0,4.86035325179905,4.86035325179905,4,5,5,5,7,7,7,7,7,7,7
GET,/product/66VCHSJNUP,13,13,4,3.3076923076923075,0,5,0.0,3.325504856494087,3.325504856494087,4,4,4,4,5,5,5,5,5,5,5
GET,/product/6E92ZMYYFZ,14,14,4,3.7142857142857144,1,6,0.0,3.581312922378247,3.581312922378247,4,4,4,5,6,6,6,6,6,6,6
GET,/product/9SIQT8TOJO,27,27,4,3.4444444444444446,0,7,0.0,6.906817778872334,6.906817778872334,4,4,5,5,6,6,7,7,7,7,7
GET,/product/L9ECAV7KIM,15,15,4,3.533333333333333,0,6,0.0,3.837120988262408,3.837120988262408,4,4,4,5,5,6,6,6,6,6,6
GET,/product/LS4PSXUNUM,16,16,4,3.3125,0,5,0.0,4.092929054146568,4.092929054146568,4,4,4,4,5,5,5,5,5,5,5
GET,/product/OLJCESPC7Z,13,13,4,4.384615384615385,1,7,0.0,3.325504856494087,3.325504856494087,4,5,5,6,6,7,7,7,7,7,7
POST,/setCurrency,15,15,5,4.4,0,7,0.0,3.837120988262408,3.837120988262408,5,5,6,6,6,7,7,7,7,7,7
,Aggregated,475,475,5,8.153684210526317,0,26,0.0,121.50883129497625,121.50883129497625,5,7,14,16,20,22,23,25,26,26,26
